wordpiece,tokenized by seBERT
□,[UNK]
▪,[UNK]
▫,[UNK]
▬,[UNK]
►,[UNK]
◀,[UNK]
◄,[UNK]
◊,[UNK]
○,[UNK]
◦,[UNK]
☃,[UNK]
☆,[UNK]
☐,[UNK]
☑,[UNK]
☠,[UNK]
☹,[UNK]
☻,[UNK]
♟,[UNK]
♠,[UNK]
♣,[UNK]
♥,[UNK]
♦,[UNK]
♫,[UNK]
♯,[UNK]
➔,[UNK]
➝,[UNK]
➞,[UNK]
⟨,[UNK]
⟩,[UNK]
⟶,[UNK]
⟹,[UNK]
⸀,[UNK]
〈,[UNK]
〉,[UNK]
あ,[UNK]
え,[UNK]
お,[UNK]
き,[UNK]
く,[UNK]
け,[UNK]
さ,[UNK]
せ,[UNK]
そ,[UNK]
ち,[UNK]
っ,[UNK]
つ,[UNK]
ひ,[UNK]
も,[UNK]
よ,[UNK]
ら,[UNK]
り,[UNK]
ん,[UNK]
ウ,[UNK]
カ,[UNK]
キ,[UNK]
サ,[UNK]
ヒ,[UNK]
ヘ,[UNK]
ホ,[UNK]
ㅏ,[UNK]
ㅡ,[UNK]
世,[UNK]
京,[UNK]
別,[UNK]
動,[UNK]
北,[UNK]
単,[UNK]
場,[UNK]
市,[UNK]
愀,[UNK]
挀,[UNK]
攀,[UNK]
時,[UNK]
椀,[UNK]
決,[UNK]
渀,[UNK]
漀,[UNK]
漢,[UNK]
爀,[UNK]
琀,[UNK]
男,[UNK]
県,[UNK]
硼,[UNK]
覺,[UNK]
語,[UNK]
贸,[UNK]
足,[UNK]
造,[UNK]
ﬀ,[UNK]
ﬁ,[UNK]
ﬂ,[UNK]
ﻮ,[UNK]
﻾,[UNK]
－,[UNK]
．,[UNK]
１,[UNK]
２,[UNK]
９,[UNK]
＝,[UNK]
ａ,[UNK]
ｅ,[UNK]
ｔ,[UNK]
～,[UNK]
ﾟ,[UNK]
￼,[UNK]
underst,unders ##t
constr,const ##r
larg,lar ##g
subm,sub ##m
cau,ca ##u
appre,app ##re
determ,det ##erm
